Date	National	Jakarta	Jabar	Jateng	Jatim
26 Nov	66752	8739	7668	12002	2784
27 Nov	68604	9344	7580	12534	2814
28 Nov	69370	9454	7080	13173	2841
29 Nov	71658	10052	6532	14376	2937
30 Nov	71420	10217	6559	13963	2986
1 Dec	72015	10228	6710	14210	3012
2 Dec	73429	10310	7084	14525	3045
3 Dec	77969	10464	8458	14951	3240
4 Dec	80023	10538	9067	15504	3433
5 Dec	81669	10864	9464	15890	3504
6 Dec	83285	11117	9720	16238	3659
7 Dec	84481	11625	9817	16538	3729
8 Dec	85345	11609	9800	16878	3693
9 Dec	87284	11744	10146	17418	4015
10 Dec	88622	11864	10291	17750	4103
11 Dec	89846	11872	10387	18434	4299
12 Dec	91602	11878	10661	19030	4498
13 Dec	93165	12044	10877	19686	4592
14 Dec	93396	12061	10609	19674	4734
15 Dec	93662	12019	10717	19538	4660
16 Dec	94922	12078	11130	19076	4831
17 Dec	97139	12372	11498	19377	5065
18 Dec	98688	12702	11553	19334	5238
19 Dec	102029	13478	12048	20077	5422
20 Dec	103239	13173	11913	20710	5292
21 Dec	104809	13253	11995	21172	5475
22 Dec	105146	13171	12146	21450	5538
23 Dec	106528	13660	12092	21800	5662
24 Dec	108269	14230	12292	22217	5778
25 Dec	108946	14572	12470	22006	6002
26 Dec	109150	14058	12393	22476	6086
27 Dec	108452	14201	12070	22580	6184
28 Dec	107789	14158	11641	22805	6221
29 Dec	108636	15189	11810	22976	6153
30 Dec	109439	15647	11833	23409	6077
31 Dec	109963	15678	11619	23745	6190
1 Jan	111005	15965	11910	24034	6201
2 Jan	110400	15566	12160	23995	6066
3 Jan	110679	15533	12273	24386	5997
4 Jan	110089	14837	12306	24351	6038
5 Jan	110693	15301	12315	23745	6132
6 Jan	112593	16624	12411	23707	6224
7 Jan	114766	17560	12617	23802	6247
8 Jan	117704	17814	13523	23957	6457
9 Jan	120928	18422	14069	24688	6627
10 Jan	122873	18199	14577	25573	6601
11 Jan	123636	18119	14981	25800	6801
12 Jan	126313	19097	15536	25719	6865
13 Jan	129628	19576	16212	26370	6864
14 Jan	133149	20623	17032	26638	6998
15 Jan	138238	21078	19026	27833	7265
16 Jan	143517	22371	20301	28940	7640
17 Jan	145482	21958	20199	30552	7572
18 Jan	144798	21481	20033	30848	7520
19 Jan	146842	21619	20331	31642	7589
20 Jan	149388	21487	20648	32819	7636
21 Jan	151658	22038	20219	33574	7742
22 Jan	156683	23620	21291	34686	7933
23 Jan	158751	23382	20965	35977	7942
24 Jan	162617	24527	21518	37462	7839
25 Jan	161636	24431	22307	36478	7826
26 Jan	163526	23760	23970	36368	7886
27 Jan	164113	22592	25262	36407	7953
28 Jan	166540	22710	27304	36486	8067
29 Jan	170017	23686	28896	37580	8008
30 Jan	174083	23581	30827	38521	7844
31 Jan	175095	23658	31153	39459	7767
1 Feb	175349	25085	31567	38365	7436
2 Feb	172576	23826	31277	38038	7340
3 Feb	175236	25747	31618	38803	7119
4 Feb	174798	25376	31262	39712	6945
5 Feb	176672	26196	30677	41067	6823
6 Feb	176433	24097	31527	42543	6736
7 Feb	176291	23961	31413	43498	6480
8 Feb	171288	23644	29766	43264	6194
9 Feb	169351	24245	28308	43499	5891
10 Feb	168416	24266	27903	43398	5752
11 Feb	166492	22725	27807	43620	5917
12 Feb	165086	20849	26903	44110	5488
13 Feb	161731	19068	26155	44207	5337
14 Feb	159012	17184	25339	44569	5137
15 Feb	158498	16926	25016	45198	4794
16 Feb	160689	16642	26934	45983	4634
17 Feb	162182	15941	28352	46609	4583
18 Feb	160494	13587	29514	46873	4441
19 Feb	160142	13137	30685	47599	4371
20 Feb	158197	13083	30127	47930	4347
21 Feb	157088	13072	29521	48177	4185
22 Feb	157148	13193	30485	48058	4041
23 Feb	158604	12116	32747	48094	4031
24 Feb	158162	10404	33552	48712	4023
25 Feb	157705	9625	34959	48231	3924
26 Feb	158408	9458	36398	47635	3898
27 Feb	157039	9977	36618	45699	3802
28 Feb	155765	11424	36803	43280	3634
1 Mar	153074	9817	36769	43030	3488
2 Mar	149645	8284	36135	43187	3340
3 Mar	147197	7234	35748	42389	3223
4 Mar	147845	7467	36217	42259	3103
5 Mar	148356	7415	36298	42906	3012
6 Mar	147172	7290	36066	43444	2922
7 Mar	147740	7253	36892	43263	2802
8 Mar	145628	7504	36650	41749	2675
9 Mar	144311	6671	37410	40732	2608
10 Mar	144213	6839	37711	40364	2584
11 Mar	141070	7665	34274	40275	2528
12 Mar	140451	8448	33106	39989	2485
13 Mar	138942	7626	32438	39920	2414
14 Mar	137912	6782	32619	39956	2373
15 Mar	136524	6529	32361	40070	2291
16 Mar	134042	5774	31822	39223	2235
17 Mar	131695	5963	28983	39093	2189
18 Mar	131753	6491	29030	38797	2181
19 Mar	131828	6885	29400	38502	2147
20 Mar	131616	7610	28503	38411	2114
21 Mar	129844	7353	27674	38406	2122
22 Mar	128250	7093	27826	37392	2074
23 Mar	126439	6201	27607	37092	2015
24 Mar	123926	5334	26460	36301	2047
25 Mar	125279	6329	26473	36269	2141
26 Mar	124497	7084	25832	35983	2161
27 Mar	124517	7769	25024	36030	2064
28 Mar	124236	7857	24712	36130	2078
29 Mar	123694	7841	24946	35583	2020
30 Mar	122326	7012	24807	35088	1998
31 Mar	122524	6780	25054	34907	2023
1 Apr	121222	7190	24726	34736	2024
2 Apr	121011	7098	24899	34827	1994
3 Apr	120068	6908	24865	34958	1953
4 Apr	116709	6615	24905	35111	1945
5 Apr	114475	6153	25118	33415	1876
6 Apr	114566	6095	25369	33236	1856
7 Apr	113570	6320	25443	31547	1924
8 Apr	111271	6682	24921	29586	1965
9 Apr	110138	7283	25378	27347	2010
10 Apr	111137	7427	25891	27312	2034
11 Apr	109958	7025	25968	27139	1997
12 Apr	109372	6353	27061	26599	1979
13 Apr	108599	6275	27421	25491	1973
14 Apr	108384	6315	28303	24406	1977
15 Apr	108032	7113	28126	23092	2017
16 Apr	107297	7039	28507	21847	2041
17 Apr	106243	7059	28634	20545	2050
18 Apr	105859	7027	28987	19575	2051
19 Apr	104319	6998	29547	18361	2039
20 Apr	102930	6546	30282	16653	2051
21 Apr	101106	6563	28934	15161	2097
22 Apr	101191	7167	28926	14091	2130
23 Apr	100533	7312	28938	12849	2143
24 Apr	99970	7322	28555	12494	2152
25 Apr	100474	7242	28834	12429	2155
26 Apr	100652	6638	29924	12533	1715
27 Apr	100256	6414	30225	12203	1683
28 Apr	100502	6357	30534	11736	1697
29 Apr	100102	6841	30483	10839	1746
30 Apr	100213	7086	30454	10241	1775
1 May	100250	7204	30443	10182	1785
2 May	100760	7064	30626	10263	1756
3 May	100564	7114	30958	10164	1699
4 May	99087	6926	30461	9844	1722
5 May	98217	7073	30144	9726	1741
6 May	98277	7391	29588	9659	1722
7 May	98546	7559	30173	9409	1652
8 May	99003	7681	30394	9091	1651
9 May	98395	7784	30321	8750	1668
10 May	96742	7850	29071	8782	1640
11 May	95924	7569	29353	8461	1673
12 May	95709	7538	29392	8254	1675
13 May	94857	7723	29181	7587	1661
14 May	93576	7792	29104	7277	1614
15 May	91636	7431	29246	7056	1542
16 May	90800	7281	29590	6987	1526
17 May	89129	7391	29782	6820	1435
18 May	87514	7387	29255	6728	1411
19 May	87829	7782	28944	6895	1437
20 May	88439	8561	28938	6949	1432
21 May	89429	9301	28523	7399	1491
22 May	91240	9824	28866	7734	1512
23 May	92847	10339	29117	7816	1524
24 May	93393	10846	29068	7821	1525
25 May	94486	10710	29057	8155	1537
26 May	96187	10800	29045	8429	1648
27 May	98405	11136	29343	8878	1660
28 May	98704	10811	29610	8958	1681
29 May	99690	10699	29637	9328	1714
30 May	101639	10756	29785	10050	1754
31 May	102006	10882	29877	10334	1748
1 Jun	101325	10870	28718	11040	1782
2 Jun	100364	10867	26749	11576	1789
3 Jun	94438	11059	20258	11783	1818
4 Jun	94773	11130	19450	12045	1841
5 Jun	96973	11597	19725	13000	1879
6 Jun	98455	11712	20225	13450	1946
7 Jun	99663	12048	21019	13652	2023
8 Jun	99963	11835	21070	14424	2131
9 Jun	101635	12085	21772	14926	2283
10 Jun	104655	13046	21827	15812	2449
11 Jun	106315	14136	21654	16032	2599
12 Jun	108324	15847	21750	16723	2731
13 Jun	113388	17662	22271	19122	2915
14 Jun	115197	19311	22034	19820	3008
15 Jun	116787	19466	22529	20572	3221
16 Jun	120306	20530	23602	21209	3621
17 Jun	125303	22754	25289	21932	3951
18 Jun	130096	24908	26739	22422	4235
19 Jun	135738	27301	27782	24026	4544
20 Jun	142719	30357	28756	25981	4856
21 Jun	147728	32462	30202	26988	5158
22 Jun	152686	32542	32571	27686	5480
23 Jun	160524	35997	34413	28204	5880
24 Jun	171542	41014	35717	30256	6380
25 Jun	181435	45308	38219	30322	6794
26 Jun	194776	51803	40736	32006	7155
27 Jun	207685	57640	43436	33805	7483
28 Jun	218476	62494	46961	34391	7939
29 Jun	228835	66288	49617	35757	8379
30 Jun	239368	70375	51825	35990	8840
1 Jul	253826	74343	56655	36759	9468
2 Jul	267539	78699	59965	37911	9987
3 Jul	281677	82679	63045	39447	10708
4 Jul	295228	87272	65330	41364	11358
5 Jul	309999	91458	70596	43110	11885
6 Jul	324597	94660	74263	45498	12494
7 Jul	343101	100229	79082	46039	13842
8 Jul	359455	102216	83459	47803	14937
9 Jul	367733	100168	85748	49098	15572
10 Jul	373440	96159	86511	50944	16412
11 Jul	376015	88636	89363	50943	17118
12 Jul	380797	82654	92681	50950	18020
13 Jul	407709	90185	95559	51618	21979
14 Jul	443473	99723	101742	53756	26996
15 Jul	480199	109247	107580	55663	33027
16 Jul	504915	113082	110834	56943	38288
17 Jul	527872	111570	115257	60673	42221
18 Jul	542236	108683	119048	61773	44566
19 Jul	542938	100759	121035	61869	45765
20 Jul	550192	94633	124826	60771	48569
21 Jul	549694	89884	123795	60659	49046
22 Jul	561384	86117	126865	59513	52219
23 Jul	569901	79551	128759	59470	54697
24 Jul	574135	73148	129522	60593	55612
25 Jul	573908	64023	129560	62175	55191
26 Jul	560275	51860	128847	61266	53487
27 Jul	556281	40668	127787	61352	54514
28 Jul	558392	35084	127881	61140	55944
29 Jul	554484	27477	127345	58727	57126
30 Jul	549343	19737	126732	57159	56990
31 Jul	545447	17850	123826	57147	56194
1 Aug	535135	15884	122965	56649	53547
2 Aug	523164	14979	118967	57298	49855
3 Aug	524142	14004	118075	57659	49263
4 Aug	524011	14451	116549	55173	48762
5 Aug	518310	13877	111462	51356	47875
6 Aug	507375	12799	107907	45972	46978
7 Aug	497824	10177	105913	46081	45565
8 Aug	474233	10654	89300	45053	44271
9 Aug	448508	10357	82802	42751	42454
10 Aug	437055	10520	79033	40469	41272
11 Aug	426170	11101	73967	38236	39451
12 Aug	412776	9881	71226	35694	38165
13 Aug	400129	9453	65365	35861	37706
14 Aug	395577	9568	65000	34809	36173
15 Aug	384807	9667	64154	34519	34123
16 Aug	371021	9205	62027	33839	31662
17 Aug	358357	8916	59686	31619	29780
18 Aug	343203	9035	56337	28393	27827
19 Aug	334752	8798	52684	27629	26908
20 Aug	327286	8807	52087	29538	25866
21 Aug	319658	8770	51837	28949	24416
22 Aug	306760	8342	51140	28069	22832
23 Aug	290764	8166	50984	27627	20434
24 Aug	273750	8124	41673	28006	18636
25 Aug	257677	8180	33381	27216	17359
26 Aug	243588	7717	27706	26758	15922
27 Aug	236317	7995	26468	26735	14800
28 Aug	227182	8002	25743	26748	13784
29 Aug	217590	7764	24802	25959	12695
30 Aug	203060	7266	22598	25483	11563
31 Aug	196281	7107	21401	24985	11091
1 Sep	189571	6671	20823	24668	10593
2 Sep	176638	6256	16724	20699	9797
3 Sep	168317	5755	15132	19999	9389
4 Sep	160699	5620	13066	19957	8710
5 Sep	155519	5595	12608	19901	8209
6 Sep	146271	5061	11135	19603	7520
7 Sep	138630	4779	8812	18917	7121
8 Sep	132823	4523	8325	18496	6729
9 Sep	127829	4332	8117	18303	6344
10 Sep	118534	4125	7719	18128	6023
11 Sep	115679	3972	7862	18030	5850
12 Sep	109869	3953	7447	16180	5572
13 Sep	99696	3681	6945	14472	5171
14 Sep	92328	3368	6609	12708	4909
15 Sep	84963	3289	5983	11084	4636
16 Sep	73238	3125	5565	9438	4289
17 Sep	68942	2969	5506	7735	4005
18 Sep	65066	2919	5308	6690	3742
19 Sep	60969	2890	4850	5497	3484
